public_name,subcategory,given_names,country,wikidata_id
Viggo Mortensen,MOVIE_STAR,Viggo,DK,Q171363
Asta Nielsen,MOVIE_STAR,Asta,DK,Q232404
Anna Karina,MOVIE_STAR,Anna;Karina,DK,Q232113
Nikolaj Coster-Waldau,MOVIE_STAR,Nikolaj,DK,Q445772
Brigitte Nielsen,MOVIE_STAR,Brigitte,DK,Q154519
Connie Nielsen,MOVIE_STAR,Connie,DK,Q231951
Victor Borge,MOVIE_STAR,Victor,DK,Q251417
Helena Christensen,MOVIE_STAR,Helena,DK,Q229397
Erik Bruhn,MOVIE_STAR,Erik,DK,Q1320382
Gabriel Axel,MOVIE_STAR,Gabriel,DK,Q553819
Jean Hersholt,MOVIE_STAR,Jean,DK,Q359251
Ulrich Thomsen,MOVIE_STAR,Ulrich,DK,Q382210
Anja Nissen,MOVIE_STAR,Anja,DK,Q17411318
Nina Agdal,MOVIE_STAR,Nina,DK,Q7037835
Birthe Wilke,MOVIE_STAR,Birthe,DK,Q273513
Tobias Lindholm,MOVIE_STAR,Tobias,DK,Q246996
Trine Dyrholm,MOVIE_STAR,Trine,DK,Q469983
Benjamin Christensen,MOVIE_STAR,Benjamin,DK,Q817442
Eugenio Barba,MOVIE_STAR,Eugenio,DK,Q469976
Bodil Ipsen,MOVIE_STAR,Bodil,DK,Q292795
Torben Ulrich,MOVIE_STAR,Torben,DK,Q785404
Lauritz Melchior,MOVIE_STAR,Lauritz,DK,Q542823
Viggo Larsen,MOVIE_STAR,Viggo,DK,Q731703
Amanda Collin,MOVIE_STAR,Amanda,DK,Q38471178
Simon Mathew,MOVIE_STAR,Simon,DK,Q515027
Karl Dane,MOVIE_STAR,Karl,DK,Q918353
Jens Albinus,MOVIE_STAR,Jens,DK,Q1341671
Katy Bødtger,MOVIE_STAR,Katy,DK,Q289975
Svend Asmussen,MOVIE_STAR,Svend,DK,Q1338273
Peter Freuchen,MOVIE_STAR,Peter,DK,Q945641
Anthony Hopkins,MOVIE_STAR,Anthony,GB,Q65932
Elton John,MOVIE_STAR,Elton,GB,Q2808
Christopher Lee,MOVIE_STAR,Christopher,GB,Q180338
Harold Pinter,MOVIE_STAR,Harold,GB,Q41042
Daniel Radcliffe,MOVIE_STAR,Daniel,GB,Q38119
Michael Caine,MOVIE_STAR,Michael,GB,Q123351
Vivien Leigh,MOVIE_STAR,Vivien,GB,Q129429
Christopher Nolan,MOVIE_STAR,Christopher,GB,Q25191
Julianne Moore,MOVIE_STAR,Anne,GB,Q80405
Keira Knightley,MOVIE_STAR,Keira,GB,Q42581
Hugh Jackman,MOVIE_STAR,Hugh,GB,Q129591
Simon Pegg,MOVIE_STAR,Simon,GB,Q238464
Daniel Craig,MOVIE_STAR,Daniel,GB,Q4547
Salman Khan,MOVIE_STAR,Salman,GB,Q9543
Gary Oldman,MOVIE_STAR,Gary,GB,Q83492
Peter O'Toole,MOVIE_STAR,Peter,GB,Q103876
Gillian Anderson,MOVIE_STAR,Gillian,GB,Q485298
Helen Mirren,MOVIE_STAR,Helen,GB,Q349391
Catherine Zeta-Jones,MOVIE_STAR,Catherine;Cathy;Zeta,GB,Q47664
Daniel Day-Lewis,MOVIE_STAR,Daniel,GB,Q166389
Michael Douglas,MOVIE_STAR,Michael,GB,Q119798
Christian Bale,MOVIE_STAR,Christian,GB,Q45772
Julie Andrews,MOVIE_STAR,Julie,GB,Q161819
Cary Grant,MOVIE_STAR,Cary,GB,Q83410
Maggie Smith,MOVIE_STAR,Maggie,GB,Q172653
Jason Statham,MOVIE_STAR,Jason,GB,Q169963
Victoria Beckham,MOVIE_STAR,Victoria;Adams;Posh,GB,Q19810
Judi Dench,MOVIE_STAR,Judi,GB,Q28054
Roger Moore,MOVIE_STAR,Roger,GB,Q134333
Orlando Bloom,MOVIE_STAR,Orlando,GB,Q44467
Alexander Rybak,MOVIE_STAR,Alexander,NO,Q131259
Sonja Henie,MOVIE_STAR,Sonja,NO,Q204205
John Carew,MOVIE_STAR,John,NO,Q192986
Renate Reinsve,MOVIE_STAR,Renate,NO,Q28718257
Kristine Froseth,MOVIE_STAR,Kristine,NO,Q38238309
Alisha Boe,MOVIE_STAR,Alisha,NO,Q19609745
Kristofer Hivju,MOVIE_STAR,Kristofer,NO,Q6438398
Linn Ullmann,MOVIE_STAR,Linn,NO,Q256738
